rank,track_name,artist_name,year
59,make me smile,chicago,1970
60,the house of the rising sun,frijid pink,1970
61,25 or 6 to 4,chicago,1970
62,my baby loves lovin',white plains,1970
63,love or let me be lonely,the friends of distinction,1970
64,united we stand,the brotherhood of man,1970
65,we've only just begun,the carpenters,1970
66,arizona,mark lindsay,1970
67,fire and rain,james taylor,1970
68,groovy situation,gene chandler,1970
69,evil ways,santana,1970
70,no time,the guess who,1970
71,didn't i (blow your mind this time),the delfonics,1970
72,the wonder of you,elvis presley,1970
73,up around the bend,creedence clearwater revival,1970
74,(if you let me make love to you then) why can't i touch you?,ronnie dyson,1970
75,i just can't help believing,b.j. thomas,1970
76,it's a shame,the spinners,1970
77,for the love of him,bobbi martin,1970
78,mississippi queen,mountain,1970
79,i want to take you higher,ike,1970
80,the letter,joe cocker,1970
81,ma belle amie,tee-set,1970
82,the bells,the originals,1970
83,yellow river,christie,1970
84,somebody's been sleeping,100 proof (aged in soul),1970
85,vehicle,the ides of march,1970
86,gimme dat ding,the pipkins,1970
87,lay a little lovin' on me,robin mcnamara,1970
88,up the ladder to the roof,the supremes,1970
89,travelin' band,creedence clearwater revival,1970
90,come saturday morning,the sandpipers,1970
91,psychedelic shack,the temptations,1970
92,without love (there is nothing),tom jones,1970
93,are you ready?,pacific gas,1970
94,woodstock,"crosby, stills, nash",1970
95,i'll never fall in love again,dionne warwick,1970
96,look what they've done to my song ma,the new seekers,1970
97,walk a mile in my shoes,joe south,1970
98,the thrill is gone,b.b. king,1970
99,it's only make believe,glen campbell,1970
100,call me,aretha franklin,1970
1,joy to the world,three dog night,1971
2,"maggie may""/""reason to believe",rod stewart,1971
3,"it's too late""/""i feel the earth move",carole king,1971
4,one bad apple,the osmonds,1971
5,how can you mend a broken heart,bee gees,1971
6,indian reservation (the lament of the cherokee reservation indian),raiders,1971
7,go away little girl,donny osmond,1971
8,"take me home, country roads",john denver,1971
9,just my imagination (running away with me),the temptations,1971
10,knock three times,tony orlando and dawn,1971
11,me and bobby mcgee,janis joplin,1971
12,tired of being alone,al green,1971
13,want ads,honey cone,1971
14,smiling faces sometimes,the undisputed truth,1971
15,treat her like a lady,cornelius brothers,1971
16,brown sugar,the rolling stones,1971
17,you've got a friend,james taylor,1971
18,mr. big stuff,jean knight,1971
19,do you know what i mean,lee michaels,1971
20,the night they drove old dixie down,joan baez,1971
21,what's going on,marvin gaye,1971
22,uncle albert/admiral halsey,paul,1971
23,ain't no sunshine,bill withers,1971
24,signs,five man electrical band,1971
25,she's a lady,tom jones,1971
26,i've found someone of my own,the free movement,1971
27,superstar,murray head,1971
28,amos moses,jerry reed,1971
29,temptation eyes,the grass roots,1971
30,superstar,the carpenters,1971
31,my sweet lord,george harrison,1971
32,sweet and innocent,donny osmond,1971
33,put your hand in the hand,ocean,1971
34,chick-a-boom (don't ya jes' love it),daddy dewdrop,1971
35,for all we know,the carpenters,1971
36,if you could read my mind,gordon lightfoot,1971
37,help me make it through the night,sammi smith,1971
38,rainy days and mondays,the carpenters,1971
39,"gypsys, tramps & thieves",cher,1971
40,never can say goodbye,the jackson 5,1971
41,rose garden,lynn anderson,1971
42,don't pull your love,"hamilton, joe frank",1971
43,it don't come easy,ringo starr,1971
44,mr. bojangles,nitty gritty dirt band,1971
45,i love you for all seasons,the fuzz,1971
46,whatcha see is whatcha get,the dramatics,1971
47,that's the way i've always heard it should be,carly simon,1971
48,if you really love me,stevie wonder,1971
49,spanish harlem,aretha franklin,1971
50,i don't know how to love him,helen reddy,1971
51,yo-yo,the osmonds,1971
52,bridge over troubled water,aretha franklin,1971
53,doesn't somebody want to be wanted,the partridge family,1971
54,draggin' the line,tommy james,1971
55,proud mary,ike,1971
56,"beginnings""/""colour my world",chicago,1971
57,stay awhile,the bells,1971
58,sweet city woman,the stampeders,1971
59,me and you and a dog named boo,lobo,1971
60,"another day""/""oh woman, oh why",paul mccartney,1971
61,if,bread,1971
62,mercy mercy me (the ecology),marvin gaye,1971
63,one toke over the line,brewer,1971
64,she's not just another woman,8th day,1971
65,bring the boys home,freda payne,1971
66,i just want to celebrate,rare earth,1971
67,never ending song of love,delaney,1971
68,easy loving,freddie hart,1971
69,liar,three dog night,1971
70,stick-up,honey cone,1971
71,chirpy chirpy cheep cheep,mac and katie kissoon,1971
72,(where do i begin?) love story,andy williams,1971
73,wild world,cat stevens,1971
74,"when you're hot, you're hot",jerry reed,1971
75,funky nassau,the beginning of the end,1971
76,if not for you,olivia newton-john,1971
77,groove me,king floyd,1971
78,watching scotty grow,bobby goldsboro,1971
79,woodstock,matthews southern comfort,1971
80,amazing grace,judy collins,1971
81,i hear you knocking,dave edmunds,1971
82,lonely days,bee gees,1971
83,here comes that rainy day feeling again,the fortunes,1971
84,won't get fooled again,the who,1971
85,trapped by a thing called love,denise lasalle,1971
86,mama's pearl,the jackson 5,1971
87,timothy,the buoys,1971
88,i woke up in love this morning,the partridge family,1971
89,theme from shaft,isaac hayes,1971
90,if i were your woman,gladys knight,1971
91,i am...i said,neil diamond,1971
92,the wedding song (there is love),paul stookey,1971
93,don't knock my love,wilson pickett,1971
94,love her madly,the doors,1971
95,here comes the sun,richie havens,1971
96,sweet mary,wadsworth mansion,1971
97,right on the tip of my tongue,brenda,1971
98,one less bell to answer,the 5th dimension,1971
99,riders on the storm,the doors,1971
100,it's impossible,perry como,1971
1,the first time ever i saw your face,roberta flack,1972
2,alone again (naturally),gilbert o'sullivan,1972
3,american pie,don mclean,1972
4,without you,harry nilsson,1972
5,the candy man,sammy davis jr.,1972
6,i gotcha,joe tex,1972
7,lean on me,bill withers,1972
8,"baby, don't get hooked on me",mac davis,1972
9,brand new key,melanie,1972
10,daddy don't you walk so fast,wayne newton,1972
11,let's stay together,al green,1972
12,brandy (you're a fine girl),looking glass,1972
13,oh girl,the chi-lites,1972
14,nice to be with you,gallery,1972
15,my ding-a-ling,chuck berry,1972
16,(if loving you is wrong) i don't want to be right,luther ingram,1972
17,heart of gold,neil young,1972
18,"betcha by golly, wow",the stylistics,1972
19,i'll take you there,the staple singers,1972
20,ben,michael jackson,1972
21,the lion sleeps tonight,robert john,1972
22,outa-space,billy preston,1972
23,slippin' into darkness,war,1972
24,long cool woman in a black dress,the hollies,1972
25,how do you do,mouth,1972
26,song sung blue,neil diamond,1972
27,a horse with no name,america,1972
28,popcorn,hot butter,1972
29,everybody plays the fool,the main ingredient,1972
30,precious and few,climax,1972
31,(last night) i didn't get to sleep at all,the 5th dimension,1972
32,nights in white satin,the moody blues,1972
33,go all the way,raspberries,1972
34,too late to turn back now,cornelius brothers,1972
35,back stabbers,the o'jays,1972
36,down by the lazy river,the osmonds,1972
37,sunshine,jonathan edwards,1972
38,starting all over again,mel and tim,1972
39,day after day,badfinger,1972
40,rocket man,elton john,1972
41,rockin' robin,michael jackson,1972
42,beautiful sunday,daniel boone,1972
43,scorpio,dennis coffey,1972
44,morning has broken,cat stevens,1972
45,city of new orleans,arlo guthrie,1972
46,garden party,ricky nelson,1972
47,i can see clearly now,johnny nash,1972
48,burning love,elvis presley,1972
49,clean up woman,betty wright,1972
50,hold your head up,argent,1972
51,jungle fever,the chakachas,1972
52,everything i own,bread,1972
53,in the rain,the dramatics,1972
54,look what you done for me,al green,1972
55,the happiest girl in the whole u.s.a.,donna fargo,1972
56,bang a gong (get it on),t. rex,1972
57,mother and child reunion,paul simon,1972
58,where is the love,roberta flack,1972
59,i'm still in love with you,al green,1972
60,layla,derek and the dominos,1972
61,day dreaming,aretha franklin,1972
62,the way of love,cher,1972
63,black and white,three dog night,1972
64,ring ring,abba,1972
65,hurting each other,the carpenters,1972
66,coconut,harry nilsson,1972
67,puppy love,donny osmond,1972
68,you don't mess around with jim,jim croce,1972
69,hot rod lincoln,commander cody and his lost planet airmen,1972
70,a cowboy's work is never done,sonny,1972
71,joy,apollo 100,1972
72,anticipation,carly simon,1972
73,never been to spain,three dog night,1972
74,kiss an angel good mornin',charley pride,1972
75,school's out,alice cooper,1972
76,saturday in the park,chicago,1972
77,drowning in the sea of love,joe simon,1972
78,use me,bill withers,1972
79,family affair,sly,1972
80,troglodyte (cave man),the jimmy castor bunch,1972
81,the witch queen of new orleans,redbone,1972
82,freddie's dead,curtis mayfield,1972
83,power of love,joe simon,1972
84,ain't understanding mellow,jerry butler,1972
85,taxi,harry chapin,1972
86,don't say you don't remember,beverly bremers,1972
87,sealed with a kiss,bobby vinton,1972
88,i saw the light,todd rundgren,1972
89,motorcycle mama,sailcat,1972
90,day by day,original cast of godspell,1972
91,roundabout,yes,1972
92,doctor my eyes,jackson browne,1972
93,i'd like to teach the world to sing (in perfect harmony),the new seekers,1972
94,vincent,don mclean,1972
95,baby let me take you (in my arms),the detroit emeralds,1972
96,speak to the sky,rick springfield,1972
97,i'd like to teach the world to sing (in perfect harmony),the hillside singers,1972
98,walkin' in the rain with the one i love,love unlimited,1972
99,get on the good foot,james brown,1972
100,pop that thang,the isley brothers,1972
1,tie a yellow ribbon round the ole oak tree,tony orlando and dawn,1973
2,"bad, bad leroy brown",jim croce,1973
3,killing me softly with his song,roberta flack,1973
4,let's get it on,marvin gaye,1973
5,my love,paul mccartney,1973
6,why me,kris kristofferson,1973
7,crocodile rock,elton john,1973
8,will it go round in circles,billy preston,1973
9,you're so vain,carly simon,1973
10,touch me in the morning,diana ross,1973
11,the night the lights went out in georgia,vicki lawrence,1973
12,playground in my mind,clint holmes,1973
13,brother louie,stories,1973
14,delta dawn,helen reddy,1973
15,me and mrs. jones,billy paul,1973
16,frankenstein,the edgar winter group,1973
17,drift away,dobie gray,1973
18,little willy,sweet,1973
19,you are the sunshine of my life,stevie wonder,1973
20,half-breed,cher,1973
21,that lady,the isley brothers,1973
22,pillow talk,sylvia robinson,1973
23,we're an american band,grand funk railroad,1973
24,right place wrong time,dr. john,1973
25,wildflower,skylark,1973
26,superstition,stevie wonder,1973
27,loves me like a rock,paul simon,1973
28,the morning after,maureen mcgovern,1973
29,rocky mountain high,john denver,1973
30,stuck in the middle with you,stealers wheel,1973
31,shambala,three dog night,1973
32,love train,the o'jays,1973
33,i'm gonna love you just a little more baby,barry white,1973
34,"say, has anybody seen my sweet gypsy rose",tony orlando and dawn,1973
35,keep on truckin',eddie kendricks,1973
36,danny's song,anne murray,1973
37,dancing in the moonlight,king harvest,1973
38,monster mash,bobby 'boris' pickett,1973
39,natural high,bloodstone,1973
40,diamond girl,seals and crofts,1973
41,long train runnin',the doobie brothers,1973
42,give me love (give me peace on earth),george harrison,1973
43,if you want me to stay,sly,1973
44,daddy's home,jermaine jackson,1973
45,neither one of us (wants to be the first to say goodbye),gladys knight,1973
46,i'm doin' fine now,new york city,1973
47,could it be i'm falling in love,the spinners,1973
48,daniel,elton john,1973
49,midnight train to georgia,gladys knight,1973
50,smoke on the water,deep purple,1973
51,the cover of the rolling stone,dr. hook,1973
52,behind closed doors,charlie rich,1973
53,your mama don't dance,loggins and messina,1973
54,feelin' stronger every day,chicago,1973
55,the cisco kid,war,1973
56,live and let die,paul mccartney,1973
57,ring ring,abba,1973
58,i believe in you (you believe in me),johnnie taylor,1973
59,sing,the carpenters,1973
60,ain't no woman (like the one i've got),the four tops,1973
61,dueling banjos,eric weissberg,1973
62,higher ground,stevie wonder,1973
63,here i am (come and take me),al green,1973
64,my maria,b.w. stevenson,1973
65,superfly,curtis mayfield,1973
66,last song,edward bear,1973
67,get down,gilbert o'sullivan,1973
68,reelin' in the years,steely dan,1973
69,hocus pocus,focus,1973
70,yesterday once more,the carpenters,1973
71,boogie woogie bugle boy,bette midler,1973
72,clair,gilbert o'sullivan,1973
73,do it again,steely dan,1973
74,kodachrome,paul simon,1973
75,why can't we live together,timmy thomas,1973
76,do you wanna dance?,bette midler,1973
77,so very hard to go,tower of power,1973
78,rockin' pneumonia and the boogie woogie flu,johnny rivers,1973
79,ramblin' man,the allman brothers band,1973
80,masterpiece,the temptations,1973
81,peaceful,helen reddy,1973
82,one of a kind (love affair),the spinners,1973
83,funny face,donna fargo,1973
84,funky worm,ohio players,1973
85,angie,the rolling stones,1973
86,jambalaya (on the bayou),blue ridge rangers,1973
87,don't expect me to be your friend,lobo,1973
88,break up to make up,the stylistics,1973
89,daisy a day,jud strunk,1973
90,also sprach zarathustra (2001),deodato,1973
91,stir it up,johnny nash,1973
92,money,pink floyd,1973
93,gypsy man,war,1973
94,the world is a ghetto,war,1973
95,yes we can can,the pointer sisters,1973
96,free ride,the edgar winter group,1973
97,space oddity,david bowie,1973
98,it never rains in southern california,albert hammond,1973
99,the twelfth of never,donny osmond,1973
100,papa was a rollin' stone,the temptations,1973
1,the way we were,barbra streisand,1974
2,seasons in the sun,terry jacks,1974
3,love's theme,love unlimited orchestra,1974
4,come and get your love,redbone,1974
5,dancing machine,the jackson 5,1974
6,the loco-motion,grand funk railroad,1974
7,tsop (the sound of philadelphia),mfsb,1974
8,the streak,ray stevens,1974
9,bennie and the jets,elton john,1974
10,one hell of a woman,mac davis,1974
11,until you come back to me (that's what i'm gonna do),aretha franklin,1974
12,jungle boogie,kool,1974
13,midnight at the oasis,maria muldaur,1974
14,you make me feel brand new,the stylistics,1974
15,show and tell,al wilson,1974
16,spiders and snakes,jim stafford,1974
17,rock on,david essex,1974
18,sunshine on my shoulders,john denver,1974
19,sideshow,blue magic,1974
20,hooked on a feeling,blue swede,1974
21,billy don't be a hero,bo donaldson and the heywoods,1974
22,band on the run,paul mccartney and wings,1974
23,the most beautiful girl,charlie rich,1974
24,time in a bottle,jim croce,1974
25,annie's song,john denver,1974
26,let me be there,olivia newton-john,1974
27,sundown,gordon lightfoot,1974
28,(you're) having my baby,paul anka,1974
29,rock me gently,andy kim,1974
30,boogie down,eddie kendricks,1974
31,you're sixteen,ringo starr,1974
32,if you love me (let me know),olivia newton-john,1974
33,dark lady,cher,1974
34,best thing that ever happened to me,gladys knight,1974
35,feel like makin' love,roberta flack,1974
36,just don't want to be lonely,the main ingredient,1974
37,nothing from nothing,billy preston,1974
38,rock your baby,george mccrae,1974
39,top of the world,the carpenters,1974
40,the joker,steve miller band,1974
41,i've got to use my imagination,gladys knight,1974
42,the show must go on,three dog night,1974
43,rock the boat,the hues corporation,1974
44,smokin' in the boys room,brownsville station,1974
45,living for the city,stevie wonder,1974
46,then came you,dionne warwick,1974
47,the night chicago died,paper lace,1974
48,the entertainer,marvin hamlisch,1974
49,waterloo,abba,1974
50,the air that i breathe,the hollies,1974
51,rikki don't lose that number,steely dan,1974
52,mockingbird,carly simon,1974
53,help me,joni mitchell,1974
54,you won't see me,anne murray,1974
55,"never, never gonna give you up",barry white,1974
56,tell me something good,rufus,1974
57,you and me against the world,helen reddy,1974
58,rock and roll heaven,the righteous brothers,1974
59,hollywood swinging,kool,1974
60,be thankful for what you got,william devaughn,1974
61,hang on in there baby,johnny bristol,1974
62,eres tíº,mocedades,1974
63,takin' care of business,bachman-turner overdrive,1974
64,radar love,golden earring,1974
65,please come to boston,dave loggins,1974
66,keep on smilin',wet willie,1974
67,lookin' for a love,bobby womack,1974
68,put your hands together,the o'jays,1974
69,on and on,gladys knight,1974
70,oh very young,cat stevens,1974
71,leave me alone (ruby red dress),helen reddy,1974
72,goodbye yellow brick road,elton john,1974
73,(i've been) searchin' so long,chicago,1974
74,oh my my,ringo starr,1974
75,for the love of money,the o'jays,1974
76,i shot the sheriff,eric clapton,1974
77,jet,paul mccartney and wings,1974
78,don't let the sun go down on me,elton john,1974
79,tubular bells,mike oldfield,1974
80,a love song,anne murray,1974
81,i'm leaving it up to you,donny and marie osmond,1974
82,hello it's me,todd rundgren,1974
83,i love,tom t. hall,1974
84,clap for the wolfman,the guess who,1974
85,i'll have to say i love you in a song,jim croce,1974
86,the lord's prayer,sister janet mead,1974
87,trying to hold on to my woman,lamont dozier,1974
88,don't you worry 'bout a thing,stevie wonder,1974
89,a very special love song,charlie rich,1974
90,my girl bill,jim stafford,1974
91,helen wheels,paul mccartney and wings,1974
92,my mistake (was to love you),diana ross,1974
93,wildwood weed,jim stafford,1974
94,beach baby,the first class,1974
95,me and baby brother,war,1974
96,rockin' roll baby,the stylistics,1974
97,i honestly love you,olivia newton-john,1974
98,call on me,chicago,1974
99,wild thing,fancy,1974
100,mighty love,the spinners,1974
1,love will keep us together,captain,1975
2,rhinestone cowboy,glen campbell,1975
3,philadelphia freedom,elton john,1975
4,before the next teardrop falls,freddy fender,1975
5,my eyes adored you,frankie valli,1975
6,some kind of wonderful,grand funk railroad,1975
7,shining star,"earth, wind",1975
8,fame,david bowie,1975
9,laughter in the rain,neil sedaka,1975
10,one of these nights,eagles,1975
11,thank god i'm a country boy,john denver,1975
12,jive talkin',bee gees,1975
13,best of my love,eagles,1975
14,lovin' you,minnie riperton,1975
15,kung fu fighting,carl douglas,1975
16,black water,the doobie brothers,1975
17,the ballroom blitz,sweet,1975
18,(hey won't you play) another somebody done somebody wrong song,b.j. thomas,1975
19,he don't love you (like i love you),tony orlando and dawn,1975
20,at seventeen,janis ian,1975
21,pick up the pieces,average white band,1975
22,the hustle,van mccoy,1975
23,lady marmalade,labelle,1975
24,why can't we be friends?,war,1975
25,love won't let me wait,major harris,1975
26,boogie on reggae woman,stevie wonder,1975
27,wasted days and wasted nights,freddy fender,1975
28,angie baby,helen reddy,1975
29,fight the power,the isley brothers,1975
30,jackie blue,ozark mountain daredevils,1975
31,fire,ohio players,1975
32,magic,pilot,1975
33,please mr. postman,the carpenters,1975
34,sister golden hair,america,1975
35,lucy in the sky with diamonds,elton john,1975
36,mandy,barry manilow,1975
37,have you never been mellow,olivia newton-john,1975
38,could it be magic,barry manilow,1975
39,cat's in the cradle,harry chapin,1975
40,wildfire,michael martin murphey,1975
41,i'm not lisa,jessi colter,1975
42,listen to what the man said,wings,1975
43,i'm not in love,10cc,1975
44,i can help,billy swan,1975
45,fallin' in love,"hamilton, joe frank",1975
46,feelings,morris albert,1975
47,when will i be loved,linda ronstadt,1975
48,chevy van,sammy johns,1975
49,"you're the first, the last, my everything",barry white,1975
50,please mr. please,olivia newton-john,1975
51,you're no good,linda ronstadt,1975
52,dynomite,bazuka,1975
53,walking in rhythm,the blackbyrds,1975
54,"the way we were""/""try to remember",gladys knight,1975
55,midnight blue,melissa manchester,1975
56,"don't call us, we'll call you",sugarloaf,1975
57,poetry man,phoebe snow,1975
58,how long?,ace,1975
59,express,b.t. express,1975
60,that's the way of the world,"earth, wind",1975
61,lady,styx,1975
62,bad time,grand funk,1975
63,only women bleed,alice cooper,1975
64,doctor's orders,carol douglas,1975
65,get down tonight,kc and the sunshine band,1975
66,one man woman/one woman man,paul anka,1975
67,you are so beautiful,joe cocker,1975
68,feel like makin' love,bad company,1975
69,how sweet it is (to be loved by you),james taylor,1975
70,dance with me,orleans,1975
71,cut the cake,average white band,1975
72,never can say goodbye,gloria gaynor,1975
73,i don't like to sleep alone,paul anka,1975
74,morning side of the mountain,donny,1975
75,when will i see you again,the three degrees,1975
76,"get down, get down (get on the floor)",joe simon,1975
77,i'm sorry,john denver,1975
78,killer queen,queen,1975
79,shoeshine boy,eddie kendricks,1975
80,do it ('til you're satisfied),b.t. express,1975
81,can't get it out of my head,electric light orchestra,1975
82,sha-la-la (make me happy),al green,1975
83,lonely people,america,1975
84,you got the love,rufus,1975
85,the rockford files theme,mike post,1975
86,it only takes a minute,tavares,1975
87,no no song,ringo starr,1975
88,junior's farm,paul mccartney,1975
89,bungle in the jungle,jethro tull,1975
90,long tall glasses (i can dance),leo sayer,1975
91,misty,ray stevens,1975
92,someone saved my life tonight,elton john,1975
93,bad blood,neil sedaka,1975
94,only yesterday,the carpenters,1975
95,i'm on fire,dwight twilley band,1975
96,only you (and you alone),ringo starr,1975
97,third rate romance,amazing rhythm aces,1975
98,you ain't seen nothing yet,bachmanâturner overdrive,1975
99,swearin' to god,frankie valli,1975
100,get dancin',disco-tex and the sex-o-lettes,1975
1,silly love songs,wings,1976
2,don't go breaking my heart,elton john,1976
3,disco lady,johnnie taylor,1976
4,"december, 1963 (oh, what a night)",the four seasons,1976
5,play that funky music,wild cherry,1976
6,kiss and say goodbye,the manhattans,1976
7,love machine,the miracles,1976
8,50 ways to leave your lover,paul simon,1976
9,love is alive,gary wright,1976
10,a fifth of beethoven,walter murphy,1976
11,sara smile,hall,1976
12,afternoon delight,starland vocal band,1976
13,i write the songs,barry manilow,1976
14,"fly, robin, fly",silver convention,1976
15,love hangover,diana ross,1976
16,get closer,seals and crofts,1976
17,"more, more, more",andrea true connection,1976
18,bohemian rhapsody,queen,1976
19,misty blue,dorothy moore,1976
20,boogie fever,the sylvers,1976
21,i'd really love to see you tonight,england dan,1976
22,you sexy thing,hot chocolate,1976
23,love hurts,nazareth,1976
24,get up and boogie,silver convention,1976
25,take it to the limit,eagles,1976
26,"(shake, shake, shake) shake your booty",kc and the sunshine band,1976
27,sweet love,commodores,1976
28,right back where we started from,maxine nightingale,1976
29,theme from s.w.a.t.,rhythm heritage,1976
30,love rollercoaster,ohio players,1976
31,you should be dancing,bee gees,1976
32,you'll never find another love like mine,lou rawls,1976
33,golden years,david bowie,1976
34,moonlight feels right,starbuck,1976
35,only sixteen,dr. hook,1976
36,let your love flow,the bellamy brothers,1976
37,dream weaver,gary wright,1976
38,turn the beat around,vicki sue robinson,1976
39,lonely night (angel face),captain,1976
40,all by myself,eric carmen,1976
41,love to love you baby,donna summer,1976
42,deep purple,donny,1976
43,theme from mahogany (do you know where you're going to),diana ross,1976
44,sweet thing,rufus,1976
45,that's the way (i like it),kc and the sunshine band,1976
46,a little bit more,dr. hook,1976
47,shannon,henry gross,1976
48,if you leave me now,chicago,1976
49,lowdown,boz scaggs,1976
50,show me the way,peter frampton,1976
51,dream on,aerosmith,1976
52,i love music,the o'jays,1976
53,say you love me,fleetwood mac,1976
54,times of your life,paul anka,1976
55,devil woman,cliff richard,1976
56,fooled around and fell in love,elvin bishop,1976
57,convoy,c. w. mccall,1976
58,welcome back,john sebastian,1976
59,sing a song,"earth, wind",1976
60,heaven must be missing an angel,tavares,1976
61,i'll be good to you,the brothers johnson,1976
62,rock and roll music,the beach boys,1976
63,shop around,captain,1976
64,saturday night,bay city rollers,1976
65,island girl,elton john,1976
66,let's do it again,the staple singers,1976
67,let 'em in,wings,1976
68,baby face,wing and a prayer fife and drum corps,1976
69,this masquerade,george benson,1976
70,evil woman,electric light orchestra,1976
71,wham bam,silver,1976
72,i'm easy,keith carradine,1976
73,wake up everybody,harold melvin,1976
74,summer,war,1976
75,let her in,john travolta,1976
76,fox on the run,sweet,1976
77,rhiannon,fleetwood mac,1976
78,got to get you into my life,the beatles,1976
79,fanny (be tender with my love),bee gees,1976
80,getaway,"earth, wind",1976
81,she's gone,hall,1976
82,still the one,orleans,1976
83,you're my best friend,queen,1976
84,with your love,jefferson starship,1976
85,slow ride,foghat,1976
86,who'd she coo?,ohio players,1976
87,the boys are back in town,thin lizzy,1976
88,walk away from love,david ruffin,1976
89,"baby, i love your way (live)",peter frampton,1976
90,young hearts run free,candi staton,1976
91,breaking up is hard to do,neil sedaka,1976
92,money honey,bay city rollers,1976
93,give up the funk (tear the roof off the sucker),parliament,1976
94,junk food junkie,larry groce,1976
95,tryin' to get the feeling again,barry manilow,1976
96,rock and roll all nite,kiss,1976
97,disco duck,rick dees,1976
98,take the money and run,steve miller band,1976
99,squeeze box,the who,1976
100,country boy (you got your feet in l.a.),glen campbell,1976
1,tonight's the night (gonna be alright),rod stewart,1977
2,i just want to be your everything,andy gibb,1977
3,best of my love,the emotions,1977
4,evergreen (love theme from a star is born),barbra streisand,1977
5,angel in your arms,hot,1977
6,i like dreamin',kenny nolan,1977
7,don't leave me this way,thelma houston,1977
8,(your love has lifted me) higher and higher,rita coolidge,1977
9,undercover angel,alan o'day,1977
10,torn between two lovers,mary macgregor,1977
11,i'm your boogie man,kc and the sunshine band,1977
12,dancing queen,abba,1977
13,you make me feel like dancing,leo sayer,1977
14,margaritaville,jimmy buffett,1977
15,telephone line,electric light orchestra,1977
16,whatcha gonna do?,pablo cruise,1977
17,do you wanna make love,peter mccann,1977
18,sir duke,stevie wonder,1977
19,hotel california,eagles,1977
20,got to give it up,marvin gaye,1977
21,gonna fly now,bill conti,1977
22,southern nights,glen campbell,1977
23,rich girl,hall,1977
24,when i need you,leo sayer,1977
25,hot line,the sylvers,1977
26,car wash,rose royce,1977
27,you don't have to be a star (to be in my show),marilyn mccoo,1977
28,fly like an eagle,steve miller band,1977
29,don't give up on us,david soul,1977
30,on and on,stephen bishop,1977
31,feels like the first time,foreigner,1977
32,couldn't get it right,climax blues band,1977
33,easy,commodores,1977
34,right time of the night,jennifer warnes,1977
35,i've got love on my mind,natalie cole,1977
36,blinded by the light,manfred mann's earth band,1977
37,looks like we made it,barry manilow,1977
38,so in to you,atlanta rhythm section,1977
39,dreams,fleetwood mac,1977
40,enjoy yourself,the jacksons,1977
41,dazz,brick,1977
42,i'm in you,peter frampton,1977
43,lucille,kenny rogers,1977
44,the things we do for love,10cc,1977
45,da doo ron ron,shaun cassidy,1977
46,handy man,james taylor,1977
47,just a song before i go,"crosby, stills",1977
48,you and me,alice cooper,1977
49,swayin' to the music (slow dancing),johnny rivers,1977
50,lonely boy,andrew gold,1977
51,i wish,stevie wonder,1977
52,don't stop,fleetwood mac,1977
53,barracuda,heart,1977
54,strawberry letter 23,the brothers johnson,1977
55,night moves,bob seger,1977
56,you're my world,helen reddy,1977
57,heard it in a love song,the marshall tucker band,1977
58,carry on wayward son,kansas,1977
59,new kid in town,eagles,1977
60,my heart belongs to me,barbra streisand,1977
61,after the lovin',engelbert humperdinck,1977
62,jet airliner,steve miller band,1977
63,stand tall,burton cummings,1977
64,way down,elvis presley,1977
65,weekend in new england,barry manilow,1977
66,it was almost like a song,ronnie milsap,1977
67,smoke from a distant fire,sanford-townsend band,1977
68,cold as ice,foreigner,1977
69,ariel,dean friedman,1977
70,lost without your love,bread,1977
71,star wars theme/cantina band,meco,1977
72,float on,the floaters,1977
73,jeans on,lord david dundas,1977
74,lido shuffle,boz scaggs,1977
75,keep it comin' love,kc and the sunshine band,1977
76,you made me believe in magic,bay city rollers,1977
77,livin' thing,electric light orchestra,1977
78,give a little bit,supertramp,1977
79,that's rock 'n' roll,shaun cassidy,1977
80,love so right,bee gees,1977
81,the rubberband man,the spinners,1977
82,i never cry,alice cooper,1977
83,nobody does it better,carly simon,1977
84,high school dance,the sylvers,1977
85,love's grown deep,kenny nolan,1977
86,ain't gonna bump no more (with no big fat woman),joe tex,1977
87,i wanna get next to you,rose royce,1977
88,somebody to love,queen,1977
89,muskrat love,captain,1977
90,walk this way,aerosmith,1977
91,cherchez la femme,dr. buzzard's original savannah band,1977
92,year of the cat,al stewart,1977
93,boogie nights,heatwave,1977
94,go your own way,fleetwood mac,1977
95,sorry seems to be the hardest word,elton john,1977
96,don't worry baby,b.j. thomas,1977
97,"knowing me, knowing you",abba,1977
98,how much love,leo sayer,1977
99,star wars (main title),london symphony orchestra,1977
100,devil's gun,c.j.,1977
1,shadow dancing,andy gibb,1978
2,night fever,bee gees,1978
3,you light up my life,debby boone,1978
4,stayin' alive,bee gees,1978
5,kiss you all over,exile,1978
6,how deep is your love,bee gees,1978
7,baby come back,player,1978
8,(love is) thicker than water,andy gibb,1978
9,boogie oogie oogie,a taste of honey,1978
10,three times a lady,commodores,1978
11,grease,frankie valli,1978
12,i go crazy,paul davis,1978
13,you're the one that i want,john travolta,1978
14,emotion,samantha sang,1978
15,lay down sally,eric clapton,1978
16,miss you,the rolling stones,1978
17,just the way you are,billy joel,1978
18,with a little luck,wings,1978
19,if i can't have you,yvonne elliman,1978
20,"dance, dance, dance (yowsah, yowsah, yowsah)",chic,1978
21,feels so good,chuck mangione,1978
22,hot child in the city,nick gilder,1978
23,love is like oxygen,sweet,1978
